id_department,id_criteria
51,1
51,14
51,16
51,19
51,25
51,29
51,30
51,32
51,35
51,36
51,37
51,38
51,40
51,41
51,49
51,52
51,63
51,70
51,71
51,109
51,110
51,112
51,113
51,114
51,165
51,175
51,176
51,177
51,178
51,179
51,181
51,182
51,183
51,188
51,191
52,1
52,3
52,14
52,16
52,17
52,18
52,19
52,25
52,29
52,30
52,32
52,35
52,36
52,37
52,38
52,40
52,41
52,49
52,52
52,63
52,70
52,71
52,109
52,110
52,112
52,113
52,114
52,165
52,173
52,175
52,176
52,177
52,178
52,179
52,181
52,182
52,183
52,188
52,191
55,1
55,14
55,16
55,19
55,25
55,29
55,30
55,32
55,35
55,36
55,37
55,38
55,40
55,41
55,49
55,52
55,63
55,70
55,71
55,109
55,110
55,112
55,113
55,114
55,165
55,175
55,176
55,177
55,178
55,179
55,181
55,182
55,183
55,188
55,191
56,1
56,14
56,16
56,19
56,25
56,29
56,30
56,32
56,35
56,36
56,37
56,38
56,40
56,41
56,43
56,49
56,52
56,54
56,63
56,70
56,71
56,109
56,110
56,112
56,113
56,114
56,165
56,175
56,176
56,177
56,178
56,179
56,181
56,182
56,183
56,185
56,188
56,191
58,1
58,14
58,16
58,19
58,25
58,29
58,30
58,32
58,35
58,36
58,37
58,38
58,40
58,41
58,49
58,52
58,63
58,70
58,71
58,109
58,110
58,112
58,113
58,114
58,165
58,175
58,176
58,177
58,178
58,179
58,181
58,182
58,183
58,188
58,191
60,1
60,14
60,16
60,19
60,25
60,29
60,30
60,32
60,35
60,36
60,37
60,38
60,40
60,41
60,49
60,52
60,63
60,70
60,71
60,109
60,110
60,112
60,113
60,114
60,165
60,175
60,176
60,177
60,178
60,179
60,181
60,182
60,183
60,188
60,191
61,1
61,14
61,16
61,19
61,25
61,29
61,30
61,32
61,35
61,36
61,37
61,38
61,40
61,41
61,49
61,50
61,52
61,63
61,70
61,71
61,109
61,110
61,112
61,113
61,114
61,165
61,175
61,176
61,177
61,178
61,179
61,181
61,182
61,183
61,188
61,191
62,1
62,5
62,14
62,16
62,19
62,25
62,29
62,30
62,32
62,35
62,36
62,37
62,38
62,40
62,41
62,49
62,52
62,63
62,70
62,71
62,109
62,110
62,112
62,113
62,114
62,165
62,175
62,176
62,177
62,178
62,179
62,181
62,182
62,183
62,188
62,191
